sta,component,model,n_params,bic_image,bic_raw,rss_image,rss_raw,rank_image,rank_raw
0ANG,north,trend_annual,4,-82209.73224373121,-82209.7322452631,0.026411145370321742,0.02641114536420642,2,2
0ANG,north,trend_annual_semi,6,-82366.44746307988,-82366.44746465293,0.025724385715704363,0.02572438570958807,1,1
0ANG,north,trend_quad_annual_semi,7,-84194.4604789827,-84194.46048106012,0.01948817484723491,0.019488174841115605,0,0
0ANG,up,trend,2,-63046.15588722839,-63046.15588736513,0.47962076304760426,0.47962076303769186,3,3
0ANG,up,trend_annual,4,-66106.4474771779,-66106.44747739565,0.3012007967336435,0.30120079672373057,2,2
0ANG,up,trend_annual_semi,6,-66152.32192800967,-66152.3219282295,0.2983251177391353,0.29832511772922266,1,1
0ANG,up,trend_quad_annual_semi,7,-66152.86426008212,-66152.86426030226,0.29790427960265187,0.29790427959273924,0,0
0ANS,east,trend,2,-48452.79007952946,-48452.790079821854,0.0299170542229173,0.029917054220782675,3,3
0ANS,east,trend_annual,4,-53971.27157481165,-53971.271575940686,0.007750373530347878,0.007750373528212586,2,2
0ANS,east,trend_annual_semi,6,-54095.738501787324,-54095.73850295591,0.007488052656988859,0.007488052654853562,1,1
0ANS,east,trend_quad_annual_semi,7,-54143.78326438037,-54143.78326556498,0.007385768588733408,0.007385768586598409,0,0
