sta,kind,index,component,n,span,order,a1,a2,b1,b2,c,v,stderr_a1,stderr_a2,stderr_b1,stderr_b2,stderr_c,stderr_v,rss,bic,converged,midas_v,midas_sigma,midas_span,midas_steps,diff,diff_over_sigma,within_sigma,error
AC58,seg,0,north,785,2.6558,38,0.0018997830880235222,0.0011147689922800929,0.00010145662905245219,0.0007223610141041015,0.10431678890718143,-0.023998217450398585,7.182242517511767e-05,7.333171845122925e-05,7.831269025529305e-05,7.172806882062841e-05,0.0001229475910508287,7.221723668185306e-05,0.0015244029765172388,-10284.197278713671,True,,,,,,,,
AC58,seg,0,up,785,2.6558,38,0.002884581150839789,0.0010328120689616857,0.0012289275271184033,-0.0013810944764324816,0.38509952348612736,-0.0010038136864318468,0.00021270201241868958,0.0002171717823599885,0.00023192292344081299,0.0002124225762058992,0.0003641091201637845,0.0002138712461476248,0.013369736709067583,-8579.655457023418,True,,,,,,,,
AC58,seg,1,east,700,1.9137,32,-0.0018853193979736559,-0.0005988331572955946,0.002212900230365803,-0.0004822140159659415,-0.420441392886877,-0.0037089117060092472,6.632092360961188e-05,6.391446010216565e-05,6.733424653931331e-05,6.497488884380734e-05,0.00035639365157904147,9.058075793699876e-05,0.0009819270919190371,-9394.645200313511,True,,,,,,,,
AC58,seg,1,north,700,1.9137,32,0.0019089852456071613,0.0004395310193665102,0.0008179535553131306,-0.00013240913888606584,0.10495347723103543,-0.02431468697780685,7.369827785826364e-05,7.102412607365491e-05,7.482431999954745e-05,7.220251394579052e-05,0.0003960378856543357,0.00010065670837680488,0.0012125308315170669,-9246.98160771455,True,,,,,,,,
AC58,seg,1,up,700,1.9137,32,0.0013522460992010084,0.0025625161811593214,0.0015588706559089387,-5.8912150047965285e-05,0.3804898943137581,0.000540911368748022,0.00020840526320398096,0.000200843250593719,0.00021158950462254369,0.00020417551617421336,0.001119922774278033,0.0002846387787087514,0.009696064070780238,-7791.674421722024,True,,,,,,,,
AC58,seg,2,east,396,1.0814,25,-0.0025180788701230196,-0.0008192302576339267,0.0023221827716699275,0.0001791904347442782,-0.4129368826828234,-0.005343407478947506,8.712722251830761e-05,8.371259889373948e-05,9.908078035324703e-05,7.579329720071731e-05,0.0013421099179776708,0.0002481902214805916,0.00044346976924242843,-5390.220387735309,True,,,,,,,,
AC58,seg,2,north,396,1.0814,25,0.0018717729460871924,0.0007299935600149789,0.0015247262383861289,-0.0001104499224489274,0.10226520377380167,-0.02379065553837912,9.634195136826876e-05,9.256619112169416e-05,0.00010955973858017644,8.380933010251644e-05,0.001484053831986971,0.0002744392574081962,0.0005422345141632495,-5310.597081379413,True,,,,,,,,
AC58,seg,2,up,396,1.0814,25,0.0014376266093529529,0.0015777100655536877,0.0016680921851473542,-0.0007636887166066733,0.3912022631714259,-0.0015947736601265535,0.0003059660671649622,0.00029397487852081427,0.00034794356826821186,0.0002661645395283406,0.004713108962246928,0.0008715735883725791,0.005468935596426316,-4395.385365626831,True,,,,,,,,
AC58,seg,3,east,1292,3.5373,45,-0.002375935911313693,-0.00040977111083825434,0.0024672913439392555,-0.00020851552109281922,-0.4226658817402591,-0.003745756178165625,4.83765757167815e-05,4.8137097555043406e-05,4.90133794030526e-05,4.908969859536844e-05,0.00026316634022104346,3.361840790090769e-05,0.0019352551638893178,-17284.626228932546,True,,,,,,,,
AC58,seg,3,north,1292,3.5373,45,0.002847587593516985,0.00047518208534643694,0.0008192010730173021,0.00017413019694335346,0.10473988404086726,-0.02411316816384328,4.8961404715659336e-05,4.871903147977622e-05,4.960590678191715e-05,4.96831486041665e-05,0.0002663477829959695,3.40248240133597e-05,0.001982328959484041,-17253.5753213435,True,,,,,,,,
