station,year,field,n,order,score,coverage,gram_cond,design_cond,day_score,n_days_checked,gate,worst_param,amp_image,amp_raw
72239003931,2024,TMP,13126,24,2.2234272346623165e-13,2.2255094485259953e-13,51.32218513400528,902.3510496438747,5.678737085839448e-13,6,ok,b2,7.106637281409406,7.1066372814094025
72240003937,2024,TMP,15919,24,6.493966843248674e-14,2.2255094485259953e-13,51.98013206315743,906.9608804206823,1.1567369826031726e-13,8,ok,b2,7.235922175614835,7.235922175614842
72240513976,2024,TMP,12386,24,6.778746864276673e-14,2.2255094485259953e-13,52.75085740682975,905.2592348354502,1.4707612072534095e-13,8,ok,b2,7.25770223115876,7.257702231158759
72241012917,2024,TMP,15919,24,1.8012909023222917e-14,2.2255094485259953e-13,50.64411756930192,903.1371329051641,1.8340330955404467e-13,8,ok,b2,7.000949954029115,7.000949954029112
72243012960,2024,TMP,13056,24,1.4963205218700078e-13,2.2255094485259953e-13,48.97331021529543,916.4381687315542,2.721760514181853e-13,8,ok,b2,7.326579385916838,7.326579385916855
72244693987,2024,TMP,12203,24,3.056814657701341e-13,2.2255094485259953e-13,52.63011688967486,908.2041149691559,7.447402587647429e-13,8,ok,b1,7.44487349687765,7.444873496877659
72248013957,2024,TMP,12948,24,2.4366623592845277e-13,2.2255094485259953e-13,65.21984703642623,878.4239388888855,6.599192520440166e-13,2,ok,b2,8.623790777884652,8.62379077788467
72248613942,2024,TMP,11683,24,3.458958459258107e-13,2.2255094485259953e-13,52.03001244798858,914.5600790394911,6.710103630743233e-13,8,ok,b1,8.548255071691864,8.548255071691873
72250012919,2024,TMP,14932,24,5.046753349644359e-14,2.2255094485259953e-13,49.73786723960065,899.8638990069549,1.2277205621607206e-13,7,ok,b1,5.5420275863355,5.54202758633551
72250612959,2024,TMP,11957,24,1.6244857267141894e-13,2.2255094485259953e-13,51.00091644978701,921.6084587034031,4.845036272348264e-14,8,ok,b2,6.1590387858371365,6.159038785837138
72251012924,2024,TMP,13729,24,2.7111458456794514e-13,2.2255094485259953e-13,50.11414368044402,896.9254855906041,1.811011897699545e-13,7,ok,b2,6.792693423749151,6.792693423749156
72251512926,2024,TMP,7690,24,4.102027297906882e-13,2.2255094485259953e-13,97.06781744537672,805.0575422193024,9.376411404098179e-14,2,ok,b2,6.223632662651417,6.223632662651423
72251712932,2024,TMP,12751,24,3.519956854201124e-13,2.2255094485259953e-13,53.21875714060585,938.5360322948637,1.4565436810946245e-13,8,ok,b2,6.621536357581683,6.62153635758169
72253012921,2024,TMP,13360,24,4.570066102867637e-13,2.2255094485259953e-13,49.9661782505384,919.36115110316,2.4058195400605793e-12,8,ok,b2,8.205106724048818,8.20510672404884
72253312962,2024,TMP,11725,24,4.0054109347451104e-13,2.2255094485259953e-13,72.20707441423878,932.915778124335,1.3589688173519903e-13,8,ok,b2,8.157584562738906,8.157584562738897
72253512909,2024,TMP,16437,24,4.28937271339614e-13,2.2255094485259953e-13,59.39294564674638,913.5139478839421,1.5025053944134948e-13,4,ok,b2,7.923503654646449,7.923503654646478
72255012912,2024,TMP,15037,24,6.183102589119888e-13,2.2255094485259953e-13,50.60450059812049,891.0808822547907,7.094363876798911e-13,8,ok,b1,6.895477418296572,6.895477418296582
72255512935,2024,TMP,12101,24,3.174228667769926e-13,2.2255094485259953e-13,54.48350639409023,882.8805073268298,2.5730722193058615e-13,8,ok,b2,6.99897261524794,6.9989726152479514
72256013959,2024,TMP,13739,24,1.1571526583481734e-13,2.2255094485259953e-13,51.68818508501192,905.339783248785,4.3474510404163406e-12,8,ok,b2,9.15503317855156,9.155033178551573
72257603902,2024,TMP,14472,24,3.5430389698628436e-13,2.2255094485259953e-13,56.02522765733816,896.045394921377,1.7219160167136562e-13,5,ok,b1,8.42374531019224,8.423745310192244
