sta,component,n,span,order,score,coverage,gram_cond,design_cond,gram_rebuild_err,gate,worst_param,v_image,v_raw
0BOT,east,575,1.5852,29,6.718864318955902e-14,2.1321205047061345e-12,58.72496677050478,4.005954473357814,0.0,ok,b1,0.017034608158956216,0.017034608158956323
0BOT,north,575,1.5852,29,1.6578859040975413e-13,2.1321205047061345e-12,58.72496677050478,4.005954473357814,0.0,ok,a2,0.016091314366154894,0.016091314366154866
0BOT,up,575,1.5852,29,6.897279205403165e-13,2.1321205047061345e-12,58.72496677050478,4.005954473357814,0.0,ok,a2,0.00841671973603355,0.008416719736033525
0BRA,east,2547,7.1403,74,1.677294399121983e-13,1.1991741467585694e-11,178.3750457237052,8.60100781740028,0.0,ok,a2,0.01750885336929159,0.01750885336929164
0BRA,north,2547,7.1403,74,1.3352598295434075e-12,1.1991741467585694e-11,178.3750457237052,8.60100781740028,0.0,ok,b2,0.012520397375696223,0.012520397375696221
0BRA,up,2547,7.1403,74,1.7420526996723038e-12,1.1991741467585694e-11,178.3750457237052,8.60100781740028,0.0,ok,a2,0.01012186170141069,0.010121861701410747
0BRO,east,3150,8.7064,86,9.292909217281212e-14,1.139646415121207e-11,179.17567215690156,10.313056787038978,0.0,ok,a2,0.018791988641170834,0.018791988641170897
0BRO,north,3150,8.7064,86,9.904018561304763e-14,1.139646415121207e-11,179.17567215690156,10.313056787038978,0.0,ok,a2,0.013780786765572721,0.013780786765572723
0BRO,up,3150,8.7064,86,8.255056875260778e-14,1.139646415121207e-11,179.17567215690156,10.313056787038978,0.0,ok,a2,0.0062509467989525745,0.006250946798952659
0BRU,east,3127,8.668,86,7.243682782911318e-14,7.723503917453947e-12,179.89700802548063,10.232800065168506,0.0,ok,b2,0.017560450101802048,0.017560450101802086
0BRU,north,3127,8.668,86,2.9547320879418495e-13,7.723503917453947e-12,179.89700802548063,10.232800065168506,0.0,ok,a2,0.014226673939090608,0.014226673939090469
0BRU,up,3127,8.668,86,4.69275513503657e-13,7.723503917453947e-12,179.89700802548063,10.232800065168506,0.0,ok,a2,0.003671594259339473,0.0036715942593394317
0BST,east,5333,14.8638,135,3.4437290981976653e-14,1.2167202205517389e-11,585.0212366642287,17.407011179057516,0.0,ok,b1,0.01794582097798413,0.017945820977984167
0BST,north,5333,14.8638,135,4.703722136876863e-14,1.2167202205517389e-11,585.0212366642287,17.407011179057516,0.0,ok,a2,0.014790398051165192,0.014790398051165186
0BST,up,5333,14.8638,135,3.733895886260756e-14,1.2167202205517389e-11,585.0212366642287,17.407011179057516,0.0,ok,a2,0.0012681062856357808,0.0012681062856357197
0BTT,east,2194,6.1656,66,6.71806973270269e-13,2.407495769754563e-11,285.8876628500664,7.786168347615398,0.0,ok,b2,0.018343574809669038,0.018343574809668795
0BTT,north,2194,6.1656,66,7.398126655078341e-13,2.407495769754563e-11,285.8876628500664,7.786168347615398,0.0,ok,b2,0.014146704456511047,0.014146704456511009
0BTT,up,2194,6.1656,66,1.1124472584136949e-12,2.407495769754563e-11,285.8876628500664,7.786168347615398,0.0,ok,b2,0.0034774785504580697,0.0034774785504581634
0BUE,east,2500,6.9459,72,6.361470797855188e-13,2.538505430825597e-11,148.7169645348006,8.404662230833344,0.0,ok,a2,0.01827681309270459,0.01827681309270462
0BUE,north,2500,6.9459,72,3.813651268776503e-13,2.538505430825597e-11,148.7169645348006,8.404662230833344,0.0,ok,b2,0.013475355545833222,0.013475355545833147
0BUE,up,2500,6.9459,72,1.0633106061013674e-12,2.538505430825597e-11,148.7169645348006,8.404662230833344,0.0,ok,b2,0.010304234770278425,0.010304234770278682
0BUG,east,3066,8.4791,84,1.7547473875472772e-13,1.6147218341361684e-11,173.8464478807328,10.03987330807676,0.0,ok,b2,0.01784626097916701,0.017846260979166886
